Date,Price
12/14/2006,17021.10
12/15/2006,17872.10
12/18/2006,18763.70
12/19/2006,19695.80
12/20/2006,20668.40
12/21/2006,19655.30
12/22/2006,18682.60
12/25/2006,17750.50
12/26/2006,18601.60
12/27/2006,19452.60
12/28/2006,19452.60
12/29/2006,18642.10
1/2/2007,17831.60
1/3/2007,18236.90
1/4/2007,19128.40
1/5/2007,20060.50
1/8/2007,19857.90
1/9/2007,19857.90
1/10/2007,20060.50
1/11/2007,20263.20
1/12/2007,21276.30
1/15/2007,22330.00
1/16/2007,23424.20
1/17/2007,22289.50
1/18/2007,22330.00
1/19/2007,23424.20
1/22/2007,24315.80
1/23/2007,24396.90
1/24/2007,23505.30
1/25/2007,23505.30
1/26/2007,23505.30
1/29/2007,24518.40
1/30/2007,25531.60
1/31/2007,26139.50
2/1/2007,25126.30
2/2/2007,25531.60
2/5/2007,24275.30
2/6/2007,25329.00
2/7/2007,25734.20
2/8/2007,24477.90
2/9/2007,23262.10
2/12/2007,24396.90
2/13/2007,25531.60
2/14/2007,24721.10
2/15/2007,24721.10
2/26/2007,25936.90
2/27/2007,26950.00
2/28/2007,25612.70
3/1/2007,24923.70
3/2/2007,26139.50
3/5/2007,25734.20
3/6/2007,24501.10
3/7/2007,24744.50
3/8/2007,24338.80
3/9/2007,24338.80
3/12/2007,24744.50
3/13/2007,24744.50
3/14/2007,23527.50
3/15/2007,22351.10
3/16/2007,23446.40
3/19/2007,23446.40
3/20/2007,22797.40
3/21/2007,21702.10
3/22/2007,22513.40
3/23/2007,22513.40
3/26/2007,21904.90
3/27/2007,20809.70
3/28/2007,20809.70
3/29/2007,21823.80
3/30/2007,21945.50
4/2/2007,21093.60
4/3/2007,20282.30
4/4/2007,20850.20
4/5/2007,20890.80
4/6/2007,20688.00
4/9/2007,20890.80
4/10/2007,21134.20
4/11/2007,21296.50
4/12/2007,21904.90
4/13/2007,21093.60
4/16/2007,21296.50
4/17/2007,20890.80
4/18/2007,21093.60
4/19/2007,20485.20
4/20/2007,19471.00
4/23/2007,18497.50
4/24/2007,17605.10
4/25/2007,17240.00
5/2/2007,17564.50
5/3/2007,17929.60
5/4/2007,18822.00
5/7/2007,19755.00
5/8/2007,20282.30
5/9/2007,20282.30
5/10/2007,21296.50
5/11/2007,22351.10
5/14/2007,23446.40
5/15/2007,22310.60
5/16/2007,21580.40
5/17/2007,22594.50
5/18/2007,21945.50
5/21/2007,22635.10
5/22/2007,22635.10
5/23/2007,22513.40
5/24/2007,21904.90
5/25/2007,21783.20
5/28/2007,21722.40
5/29/2007,21113.90
5/30/2007,21296.40
5/31/2007,21235.60
6/1/2007,20992.20
6/4/2007,20688.00
6/5/2007,19653.60
6/6/2007,20079.50
6/7/2007,20566.30
6/8/2007,20079.50
6/11/2007,19471.00
6/12/2007,19410.20
6/13/2007,18619.20
6/14/2007,18558.30
6/15/2007,18862.60
6/18/2007,18619.20
6/19/2007,18619.20
6/20/2007,18619.20
6/21/2007,18254.10
6/22/2007,17949.90
6/25/2007,18801.70
6/26/2007,19714.40
6/27/2007,18923.40
6/28/2007,18740.90
6/29/2007,18680.00
7/2/2007,18375.80
7/3/2007,18436.60
7/4/2007,18984.30
7/5/2007,18862.60
7/6/2007,18740.90
7/9/2007,18740.90
7/10/2007,18740.90
7/11/2007,18740.90
7/12/2007,18619.20
7/13/2007,18193.30
7/16/2007,17645.60
7/17/2007,17645.60
7/18/2007,17523.90
7/19/2007,17341.40
7/20/2007,17219.70
7/23/2007,16550.40
7/24/2007,16282.10
7/25/2007,15550.30
7/26/2007,15245.40
7/27/2007,15245.40
7/30/2007,15428.30
7/31/2007,14940.50
8/1/2007,14635.60
8/2/2007,13903.80
8/3/2007,13233.00
8/6/2007,13294.00
8/7/2007,13903.80
8/8/2007,14574.60
8/9/2007,15245.40
8/10/2007,14635.60
8/13/2007,14086.70
8/14/2007,14330.70
8/15/2007,14025.70
8/16/2007,13598.90
8/17/2007,13415.90
8/20/2007,13720.80
8/21/2007,13842.80
8/22/2007,13964.80
8/23/2007,13720.80
8/24/2007,14025.70
8/27/2007,13781.80
8/28/2007,13781.80
8/29/2007,13781.80
8/30/2007,13720.80
8/31/2007,13720.80
9/4/2007,13964.80
9/5/2007,13720.80
9/6/2007,13720.80
9/7/2007,13720.80
9/10/2007,13598.90
9/11/2007,13598.90
9/12/2007,13598.90
9/13/2007,13598.90
9/14/2007,13720.80
9/17/2007,13659.90
9/18/2007,13537.90
9/19/2007,13598.90
9/20/2007,13720.80
9/21/2007,13903.80
9/24/2007,14574.60
9/25/2007,15245.40
9/26/2007,15245.40
9/27/2007,15855.20
9/28/2007,16648.00
10/1/2007,17440.70
10/2/2007,18050.50
10/3/2007,18355.40
10/4/2007,17989.50
10/5/2007,17135.80
10/8/2007,16828.70
10/9/2007,17627.10
10/10/2007,17627.10
10/11/2007,17258.60
10/12/2007,17381.50
10/15/2007,17197.20
10/16/2007,17074.40
10/17/2007,17320.10
10/18/2007,17074.40
10/19/2007,16890.10
10/22/2007,16705.90
10/23/2007,16644.50
10/24/2007,17197.20
10/25/2007,17013.00
10/26/2007,16890.10
10/29/2007,16644.50
10/30/2007,16583.00
10/31/2007,16705.90
11/1/2007,16583.00
11/2/2007,16214.50
11/5/2007,15784.60
11/6/2007,15170.40
11/7/2007,14986.10
11/8/2007,15170.40
11/9/2007,15416.10
11/12/2007,15416.10
11/13/2007,14740.50
11/14/2007,15416.10
11/15/2007,15109.00
11/16/2007,15293.20
11/19/2007,15293.20
11/20/2007,15109.00
11/21/2007,14740.50
11/22/2007,15109.00
11/23/2007,15170.40
11/26/2007,15170.40
11/27/2007,14924.70
11/28/2007,14801.90
11/29/2007,14679.10
11/30/2007,14617.60
12/3/2007,14679.10
12/4/2007,14494.80
12/5/2007,14249.10
12/6/2007,14126.30
12/7/2007,14249.10
12/10/2007,14003.40
12/11/2007,13880.60
12/12/2007,13942.00
12/13/2007,13757.80
12/14/2007,13634.90
12/17/2007,13573.50
12/18/2007,13757.80
12/19/2007,14126.30
12/20/2007,13819.20
12/21/2007,13819.20
12/24/2007,13696.40
12/25/2007,13634.90
12/26/2007,13696.40
12/27/2007,13634.90
12/28/2007,13696.40
1/2/2008,13450.70
1/3/2008,13205.00
1/4/2008,13020.80
1/7/2008,12652.20
1/8/2008,12775.10
1/9/2008,12406.60
1/10/2008,11792.40
1/11/2008,12099.50
1/14/2008,11853.80
1/15/2008,11608.10
1/16/2008,12160.90
1/17/2008,12222.30
1/18/2008,12406.60
