Period,Return on Average Assets (ROAA),GDP Growth,Exchange rate,Current ratio (short term),Finace leverage (Debt ratio)
2004,22.08,7.536410612,15746,1.35,81.11
2005,14.75,7.547247727,15858.91667,1.36,72.45
2006,16,6.977954812,15994.25,1.9,51.23
2007,16.83,7.129504484,16105.125,1.42,58.46
2008,14.57,5.661771208,16302.25,1.47,51.68
2009,12.87,5.397897543,17065.08333,1.61,64.23
2010,11.14,6.423238217,18612.91667,1.63,58.97
2011,12.34,6.413177689,20509.75,1.34,58.34
2012,10.57,5.50454562,20828,1.5,50.07
2013,10.12,5.553500245,20933.41667,1.42,53.02
2014,8.11,6.422246656,21148,1.3,59.14
2015,7.93,6.987166724,21697.5675,1.27,60.91
2016,7.12,6.690009213,21935.00083,1.26,61.63
2017,10.69,6.940187782,22370.08667,1.45,47.05
2018,9.57,7.464991257,22602.05,1.27,50.35
2019,9.93,7.359281,23050.24167,1.18,49.69
2020,9.42,2.865411946,23208.36833,1.15,55.42
2021,9.09,2.561551142,23159.78259,1.18,60.11
2022,10.08,8.019798458,23271.2125,1.26,50.91
