Season,Return on Average Assets (ROAA),Price
S1/2007,4.62,24565.9
S2/2007,5.88,19051.86667
S3/2007,2.29,15103.1
S4/2007,5.97,15006.63333
S1/2008,3.15,8885.23333
S2/2008,3.12,3984.1
S3/2008,1.9,5879.53333
S4/2008,5.35,4776.8
S1/2009,3.63,4416.83333
S2/2009,3.75,6148.26667
S3/2009,4.64,8164.7
S4/2009,3.18,7976.16667
S1/2010,2.79,7891.66667
S2/2010,3.54,8823.66667
S3/2010,2.37,9926.66667
S4/2010,2.45,9436.53333
S1/2011,2.37,7513.43333
S2/2011,3.3,6494.4
S3/2011,3.86,7475.1
S4/2011,3.17,6830.03333
S1/2012,2.33,7493.26667
S2/2012,2.88,8383.93333
S3/2012,2.33,7430.36667
S4/2012,3.1,6206.4
S1/2013,2.54,7018.1
S2/2013,3.01,7543.36667
S3/2013,2.12,8196.5
S4/2013,2.84,8904.53333
S1/2014,2.14,11967.43333
S2/2014,2.43,11824.73333
S3/2014,2.06,13099.03333
S4/2014,2.11,12115.1
S1/2015,1.89,11917.4
S2/2015,2.04,13066.43333
S3/2015,1.68,13318.93333
S4/2015,2.67,14395.96667
S1/2016,1.36,13942.1
S2/2016,0.46,14369.6
S3/2016,1.81,15501.56667
S4/2016,2.35,15533.26667
S1/2017,1.43,16411.7
S2/2017,1.83,18035.2
S3/2017,2.02,20574.86667
S4/2017,5.19,23604.76667
S1/2018,2.04,26094.73333
S2/2018,2.32,22797.63333
S3/2018,2.67,22730.3
S4/2018,2.72,21824.53333
S1/2019,2.14,22829.46667
S2/2019,2.68,25758
S3/2019,3.06,31051.6
S4/2019,2.3,33858.73333
S1/2020,2.2,29072.2
S2/2020,2.5,31424
S3/2020,2.52,33500.73333
S4/2020,2.47,38870.2
S1/2021,2.1,50718.56667
S2/2021,2.19,65776.53333
S3/2021,2.36,76447.33333
S4/2021,2.55,78805.86667
S1/2022,2.27,79574.66667
S2/2022,2.24,87411.33333
S3/2022,2.61,83213.43333
S4/2022,2.53,75700
S1/2023,2.92,81033.33333
S2/2023,2.71,82533.33333
S3/2023,2.84,91700
